Country,Country Code,2009_expenditure_on_social_protection,2009_expenditure_on_families,2009_expenditure_on_health_care,2009_healthy_life_years_at_age_65,2009_gini_income,2009_fertility_rate
Belgium,BEL,30.2,7.51,26.98,10.5,28.6,1.84
Bulgaria,BGR,16.1,12.06,22.12,9,33.8,1.66
Czech Republic,CZE,20,10.13,30.28,8.3,26.2,1.51
Denmark,DNK,34.3,12.63,21.58,11.7,26.7,1.84
Germany,DEU,30.8,10.11,31.15,6.6,30.5,1.36
Estonia,EST,18.7,11.79,28.04,5.5,31.4,1.7
Ireland,IRL,24.2,11.83,34.67,10.3,32.7,2.06
Greece,GRC,24.8,3.95,26.7,7.7,33.6,1.5
Spain,ESP,24.7,6.03,28.92,8.9,34.9,1.38
France,FRA,33.2,7.83,27,9.2,32.7,2.0
Croatia,HRV,21,7.59,33.55,:,32.6,1.58
Italy,ITA,28.7,4.34,24.37,7.5,33.8,1.45
Cyprus,CYP,19.1,10.35,23.97,9,32.1,1.443
Latvia,LVA,16.7,10.2,23.72,5.2,36.0,1.46
Lithuania,LTU,21,13.13,25.78,6.5,37.2,1.5
Luxembourg,LUX,23.4,17.5,24.98,11.3,31.2,1.59
Hungary,HUN,22.7,12.61,24.55,5.7,27.0,1.32
Malta,MLT,19.3,5.97,32.28,11.6,30.2,1.42
Netherlands,NLD,29,4.12,33.26,10,27.9,1.79
Austria,AUT,29.6,10.4,24.93,8.2,31.5,1.39
Poland,POL,20.3,6.33,22.74,7.3,33.4,1.4
Portugal,PRT,25.8,5.26,27.21,6.1,34.9,1.34
Romania,ROU,16.2,10.11,24.17,7.3,35.6,1.66
Slovenia,SVN,23.7,8.66,32.21,9.6,24.8,1.53
Finland,FIN,28.9,10.93,24.79,8.7,27.5,1.86
Sweden,SWE,29.8,10,24.82,12.7,27.3,1.94
United Kingdom,GBR,28.2,10.44,28.12,11.2,34.3,1.89
Iceland,ISL,23.3,12.51,35.65,13.2,28.7,2.23
Liechtenstein,LIE,:,,,,,1.71
Norway,NOR,24.8,12.85,29.53,13.9,26.2,1.98
Switzerland,CHE,25,5.41,27,12.1,32.9,1.5
Montenegro,MNE,:,:,:,,,1.78
North Macedonia,MKD,:,:,:,,42.8,1.464
Albania,ALB,:,,,,,1.652
Serbia,SRB,23.1,4.81,25.61,,,1.44
Turkey,TUR,13.4,2.54,35.22,,39.0,2.168
Bosnia and Herzegovina,BIH,:,:,:,,,1.311
