Country,Country Code,2016_expenditure_on_social_protection,2016_expenditure_on_families,2016_expenditure_on_health_care,2016_healthy_life_years_at_age_65,2016_gini_income,2016_fertility_rate
Belgium,BEL,29.2,7.11,25.23,10.9,27.6,1.68
Bulgaria,BGR,17.4,10.11,27.09,9.7,40.6,1.54
Czech Republic,CZE,18.8,8.59,31.46,8.6,25.4,1.63
Denmark,DNK,32.5,10.73,20.52,11.7,28.2,1.79
Germany,DEU,29.6,10.92,33.61,12,31.9,1.6
Estonia,EST,16.4,12.87,29.44,6.4,31.2,1.6
Ireland,IRL,15.8,8.71,35.52,12.6,32.8,1.81
Greece,GRC,26.5,3.92,19.98,7.9,35,1.38
Spain,ESP,23.8,5.26,25.95,10.4,35.8,1.34
France,FRA,34.3,7.14,26.68,10.1,31.9,1.92
Croatia,HRV,21.8,8.51,32.08,5,30.9,1.42
Italy,ITA,29.2,3.92,22.29,10.3,35.2,1.34
Cyprus,CYP,19.4,6.62,17.68,10.7,32.9,1.345
Latvia,LVA,15,10.94,24.6,4.4,34.3,1.74
Lithuania,LTU,15.4,7.39,29.7,5.6,38.4,1.69
Luxembourg,LUX,21.3,15.18,24.23,8.8,33,1.41
Hungary,HUN,18.8,11.75,27.15,6.5,30.3,1.53
Malta,MLT,16.4,5.65,33.61,12.9,29.1,1.37
Netherlands,NLD,29.5,3.83,31.27,10.1,28.2,1.66
Austria,AUT,29.9,9.29,24.62,7.8,30.8,1.53
Poland,POL,21,12.11,22.77,8.6,31.2,1.39
Portugal,PRT,25.1,4.68,24.07,7,35.2,1.36
Romania,ROU,14.6,9.47,26.66,5.9,34.4,1.69
Slovenia,SVN,23.2,7.41,32.71,8.3,24.8,1.58
Finland,FIN,31.6,9.74,22.32,9.1,27.1,1.57
Sweden,SWE,29.4,10.1,25.47,15.9,29.6,1.85
United Kingdom,GBR,25.9,9.87,32.31,10.8,34.8,1.79
Iceland,ISL,22.3,10.63,36.55,14.3,,1.74
Norway,NOR,28.5,11.78,27.47,15.2,28.5,1.71
Switzerland,CHE,27.1,5.52,28.64,9.9,33,1.54
Montenegro,MNE,18.7,10.13,25.55,,,1.73
North Macedonia,MKD,14.2,6.22,29.27,,34.5,1.506
Serbia,SRB,20.3,6.01,24.28,,38.8,1.46
Turkey,TUR,12.8,3.66,27.14,,41.9,2.092
Bosnia and Herzegovina,BIH,20.3,4.37,27.8,,,1.286
