Country,Country Code,2012_expenditure_on_social_protection,2012_expenditure_on_families,2012_expenditure_on_health_care,2012_healthy_life_years_at_age_65,2012_gini_income,2012_fertility_rate
Belgium,BEL,29.7,7.22,27.88,10.9,27.5,1.8
Bulgaria,BGR,16.5,10.44,25.3,9.2,36.0,1.5
Czech Republic,CZE,20.3,8.58,29.57,8.7,26.1,1.45
Denmark,DNK,33.6,11.41,20.81,11.8,27.8,1.73
Germany,DEU,28.9,10.76,32.66,6.8,,1.41
Estonia,EST,14.9,11.32,27.84,5.5,32.9,1.56
Ireland,IRL,23.9,9.77,34.1,11.5,33.2,1.98
Greece,GRC,28.5,3.45,21.45,7.9,36.3,1.34
Spain,ESP,25.7,5.25,26.04,9.1,35.4,1.32
France,FRA,33.8,7.41,26.44,9.9,33.1,2.01
Croatia,HRV,21.6,7.35,34.26,7.8,32.5,1.51
Italy,ITA,29.1,3.99,23.12,7.4,35.2,1.43
Cyprus,CYP,20.9,7.21,16.86,8.2,34.3,1.39
Latvia,LVA,14.2,6.99,22.89,6,35.2,1.44
Lithuania,LTU,16.3,8.31,25.58,5.9,35.1,1.6
Luxembourg,LUX,22.7,15.92,25.04,11.8,34.3,1.57
Hungary,HUN,21.2,12.2,23.37,6.4,30.8,1.34
Malta,MLT,18.7,5.83,31.1,12.4,29.4,1.42
Netherlands,NLD,30.6,3.33,33.52,10.1,27.6,1.72
Austria,AUT,29.2,9.53,24.88,9.2,30.5,1.44
Poland,POL,18.9,7.09,21.89,7.6,33.0,1.33
Portugal,PRT,26.4,4.62,23.63,9.4,36.0,1.28
Romania,ROU,15.5,8.5,26.25,5.4,36.5,1.52
Slovenia,SVN,24.7,8.32,31.61,7,25.6,1.58
Finland,FIN,29.9,10.73,24.55,8.7,27.1,1.8
Sweden,SWE,29,10.21,24.98,:,27.6,1.91
United Kingdom,GBR,28.6,10.55,30.03,10.5,32.3,1.92
Iceland,ISL,22.9,10.94,34.43,14.5,26.8,2.04
Liechtenstein,LIE,:,,,,,1.51
Norway,NOR,24,12.7,28.02,15.7,25.7,1.85
Switzerland,CHE,25.7,5.55,27.16,14,31.6,1.52
Montenegro,MNE,:,:,:,,41.2,1.728
North Macedonia,MKD,:,:,:,,38.1,1.488
Albania,ALB,:,,,,29.0,1.684
Serbia,SRB,22.6,5.13,25.38,,39.9,1.45
Turkey,TUR,12.4,2.86,30.93,,40.2,2.126
Bosnia and Herzegovina,BIH,:,:,:,,,1.313
