Country,Country Code,2013_expenditure_on_social_protection,2013_expenditure_on_families,2013_expenditure_on_health_care,2013_healthy_life_years_at_age_65,2013_gini_income,2013_fertility_rate
Belgium,BEL,30,7.16,27.6,10.8,27.7,1.76
Bulgaria,BGR,17.6,10.31,25.09,9.4,36.6,1.48
Czech Republic,CZE,20,8.82,29.55,8.7,26.5,1.46
Denmark,DNK,34.5,10.91,19.96,12.1,28.5,1.67
Germany,DEU,29.2,10.79,33.29,7,31.1,1.42
Estonia,EST,14.8,10.92,27.74,5.4,35.1,1.52
Ireland,IRL,22.9,9.37,33.49,11.5,33.5,1.93
Greece,GRC,26.6,4.26,20.25,7.4,36.1,1.29
Spain,ESP,26,5.27,25.07,9.3,36.2,1.27
France,FRA,34.2,7.39,26.35,10.3,32.5,1.99
Croatia,HRV,21.3,7.35,32.24,5.8,32.0,1.46
Italy,ITA,29.7,4.05,22.7,7.5,34.9,1.39
Cyprus,CYP,23,6.41,16.04,9.1,37.0,1.376
Latvia,LVA,14.6,8.02,23.27,4.1,35.5,1.52
Lithuania,LTU,15.4,7.26,26.49,6.1,35.3,1.59
Luxembourg,LUX,23.1,15.65,25.21,10.6,32.0,1.55
Hungary,HUN,20.7,11.92,23.58,6.2,31.5,1.35
Malta,MLT,18.3,6.05,32.09,12.8,28.8,1.36
Netherlands,NLD,30.8,3.06,32.65,9.4,28.1,1.68
Austria,AUT,29.6,9.42,24.63,8.9,30.8,1.44
Poland,POL,19.7,7.2,22.51,7.5,33.1,1.29
Portugal,PRT,27.6,4.33,22.43,9.5,36.2,1.21
Romania,ROU,14.9,8.11,26.25,5.6,36.9,1.46
Slovenia,SVN,24.6,7.85,30.23,7.4,26.2,1.55
Finland,FIN,31,10.44,23.93,:,27.2,1.75
Sweden,SWE,29.8,10.15,24.78,13.3,28.8,1.89
United Kingdom,GBR,28,10.16,31.14,10.7,33.2,1.83
Iceland,ISL,22.6,11.43,35.08,15.1,25.4,1.93
Liechtenstein,LIE,:,,,,,1.45
Norway,NOR,24.5,12.59,27.96,15,26.4,1.78
Switzerland,CHE,26.5,5.49,27.81,10.5,32.5,1.52
Montenegro,MNE,:,:,:,,39.0,1.72
North Macedonia,MKD,:,:,:,,36.2,1.497
Albania,ALB,:,,,,,1.69
Serbia,SRB,21.9,5.34,25.31,,39.5,1.43
Turkey,TUR,12.1,3.13,29.87,,40.2,2.117
Bosnia and Herzegovina,BIH,19.8,2.79,28.23,,,1.309
