Country,2007_gini_income,2007_expenditure_on_social_protection,2007_expenditure_on_health_care,2007_healthy_life_years_at_age_65,Country Code,2007_fertility_rate
Belgium,29.2,,,,BEL,1.82
Bulgaria,36.1,,,,BGR,1.49
Czech Republic,26.0,,,,CZE,1.45
Denmark,26.2,,,,DNK,1.84
Germany,31.3,,,,DEU,1.37
Estonia,31.2,,,,EST,1.69
Ireland,31.9,,,,IRL,2.01
Greece,34.0,,,,GRC,1.41
Spain,34.1,,,,ESP,1.38
France,32.4,,,,FRA,1.98
Croatia,,,,,HRV,1.48
Italy,32.9,,,,ITA,1.4
Cyprus,31.1,,,,CYP,1.479
Latvia,37.5,,,,LVA,1.54
Lithuania,34.8,,,,LTU,1.36
Luxembourg,31.1,,,,LUX,1.61
Hungary,27.9,,,,HUN,1.32
Malta,29.2,,,,MLT,1.35
Netherlands,29.6,,,,NLD,1.72
Austria,30.6,,,,AUT,1.38
Poland,34.0,,,,POL,1.31
Portugal,36.8,,,,PRT,1.35
Romania,37.5,,,,ROU,1.45
Slovenia,24.4,,,,SVN,1.38
Finland,28.3,,,,FIN,1.83
Sweden,27.1,,,,SWE,1.88
United Kingdom,35.7,,,,GBR,1.86
Iceland,29.5,,,,ISL,2.09
Liechtenstein,,,,,LIE,1.42
Norway,27.1,,,,NOR,1.9
Switzerland,34.3,,,,CHE,1.46
Montenegro,,,,,MNE,1.817
North Macedonia,,,,,MKD,1.48
Albania,,,,,ALB,1.671
Serbia,,,,,SRB,1.38
Turkey,38.4,,,,TUR,2.213
Bosnia and Herzegovina,33.1,,,,BIH,1.295
