Country,Country Code,2017_expenditure_on_social_protection,2017_expenditure_on_families,2017_expenditure_on_health_care,2017_healthy_life_years_at_age_65,2017_gini_income,2017_fertility_rate
Belgium,BEL,28.9,7.17,25.41,11.1,27.4,1.65
Bulgaria,BGR,16.9,10.4,27.88,8.8,40.4,1.56
Czech Republic,CZE,18.3,8.51,31.77,8,24.9,1.69
Denmark,DNK,31.9,10.68,20.58,11.6,28.7,1.75
Germany,DEU,29.6,11.0,33.68,11.9,,1.57
Estonia,EST,16,12.9,29.44,5.9,30.4,1.59
Ireland,IRL,14.8,8.47,36.05,13,,1.77
Greece,GRC,25.6,5.59,19.95,7.9,34.4,1.35
Spain,ESP,23.4,5.34,26.38,12.4,34.7,1.31
France,FRA,34,7.08,26.69,10.1,31.6,1.9
Croatia,HRV,21.5,8.53,32.72,4.9,30.4,1.42
Italy,ITA,28.9,3.98,22.3,9.6,35.9,1.32
Cyprus,CYP,18.5,6.52,17.87,9,31.4,1.337
Latvia,LVA,14.8,10.82,25.03,4.2,35.6,1.69
Lithuania,LTU,15.1,7.95,29.93,5.6,37.3,1.63
Luxembourg,LUX,21.9,15.07,24.51,8.8,34.9,1.39
Hungary,HUN,18.2,11.87,27.27,6.7,30.6,1.54
Malta,MLT,15.7,5.44,34.31,13.9,29.2,1.26
Netherlands,NLD,29.3,3.93,31.65,9.9,28.5,1.62
Austria,AUT,29.4,9.29,25.15,7.6,29.7,1.52
Poland,POL,20.2,12.92,22.11,8.4,29.7,1.48
Portugal,PRT,24.6,4.7,24.4,7.3,33.8,1.38
Romania,ROU,14.8,10.11,26.62,5.4,36.0,1.71
Slovenia,SVN,22.6,8.15,33.44,7.2,24.2,1.62
Finland,FIN,30.6,9.63,22.15,9.2,27.4,1.49
Sweden,SWE,28.7,9.94,25.68,15.6,28.8,1.78
United Kingdom,GBR,26.3,9.34,32.38,10.8,,1.74
Iceland,ISL,23.5,10.1,35.58,:,,1.71
Liechtenstein,LIE,:,,,,,1.44
Norway,NOR,27.8,11.65,27.74,15.7,27.0,1.62
Switzerland,CHE,27.3,5.52,29.21,10.6,32.7,1.52
Montenegro,MNE,17.7,7.3,26.81,,,1.738
North Macedonia,MKD,14.5,6.26,29.09,,34.2,1.501
Albania,ALB,:,,,,33.2,1.638
Serbia,SRB,19.4,6.35,24.7,,36.2,1.49
Turkey,TUR,12.2,3.91,26.94,,41.4,2.081
Bosnia and Herzegovina,BIH,19.7,4.08,27.93,,,1.276
