Country,Country Code,2011_expenditure_on_social_protection,2011_expenditure_on_families,2011_expenditure_on_health_care,2011_healthy_life_years_at_age_65,2011_gini_income,2011_fertility_rate
Belgium,BEL,29.9,7.53,27.39,10.0,28.1,1.81
Bulgaria,BGR,16.5,10.9,25.15,9.2,34.3,1.51
Czech Republic,CZE,19.9,9.03,29.84,8.6,26.4,1.43
Denmark,DNK,33.5,11.85,20.97,12.9,27.3,1.75
Germany,DEU,28.8,10.69,32.15,7.0,30.5,1.39
Estonia,EST,15.5,12.25,27.65,5.7,32.5,1.61
Ireland,IRL,24.5,9.94,33.7,11.4,32.9,2.03
Greece,GRC,27.8,3.86,22.61,8.5,34.8,1.4
Spain,ESP,25.5,5.41,27.29,9.5,35.7,1.34
France,FRA,33,7.47,26.77,9.9,33.3,2.01
Croatia,HRV,21,7.52,33.25,7.3,32.3,1.48
Italy,ITA,28.4,4.05,23.77,7.5,35.1,1.44
Cyprus,CYP,20.1,9.21,17.83,6.9,32.6,1.406
Latvia,LVA,15.3,7.34,22.28,4.9,35.8,1.33
Lithuania,LTU,17,9.86,26.57,6.5,32.5,1.55
Luxembourg,LUX,21.8,16.19,25,11.7,32.1,1.52
Hungary,HUN,21.5,12.55,25.13,6.0,29.2,1.23
Malta,MLT,18.8,5.97,30.96,11.4,29.1,1.45
Netherlands,NLD,29.9,3.76,33.41,10.2,27.8,1.76
Austria,AUT,28.8,9.88,24.9,8.3,30.8,1.43
Poland,POL,18.7,6.89,22.6,8.0,33.2,1.33
Portugal,PRT,25.8,4.57,23.58,7.0,36.3,1.35
Romania,ROU,16.6,10.36,24.39,5.4,35.9,1.47
Slovenia,SVN,24.4,8.72,30.98,6.6,24.9,1.56
Finland,FIN,28.7,10.83,24.79,8.5,27.6,1.83
Sweden,SWE,27.9,10.27,25.04,12.4,27.6,1.9
United Kingdom,GBR,28.6,10.78,30.22,11.5,33.2,1.91
Iceland,ISL,23.2,11.26,33.62,13.9,26.8,2.02
Liechtenstein,LIE,:,,,,,1.69
Norway,NOR,24.2,12.84,28.18,16.7,25.3,1.88
Switzerland,CHE,25,5.55,26.85,12.8,31.7,1.52
Montenegro,MNE,:,:,:,,,1.741
North Macedonia,MKD,:,:,:,,39.4,1.477
Albania,ALB,:,,,,,1.673
Serbia,SRB,21.4,5.35,25.69,,,1.4
Turkey,TUR,12.2,2.68,32.65,,40.0,2.137
Bosnia and Herzegovina,BIH,:,:,:,,33.0,1.315
